Date,Open,High,Low,Close,Adj Close,Volume
6/9/21,133.619995,134.899994,131.449997,131.839996,129.620422,6448100
6/10/21,131.5,132.570007,130.190002,130.979996,128.774933,6584100
6/11/21,131.5,131.990005,130.529999,131.940002,129.71875,5414500
6/14/21,131.699997,132.050003,130.130005,131.360001,129.148529,5743600
6/15/21,131.539993,131.75,129.830002,130.289993,128.096527,5168100
6/16/21,130.300003,131.169998,129.600006,130.399994,128.204666,7915500
6/17/21,129.240005,129.880005,127.860001,128.919998,126.749596,8568100
6/18/21,126.68,129.029999,126.68,128.410004,126.248199,9784800
6/21/21,129.240005,130.759995,128.699997,130.080002,127.890076,6288500
6/22/21,130.830002,132.690002,130.130005,132.479996,130.249649,6043800
6/23/21,132.809998,133.699997,132.210007,133.100006,130.859238,4566000
6/24/21,133.899994,134.820007,132.899994,133.600006,131.350815,11420500
6/25/21,152.410004,154.589996,150.479996,154.350006,151.75148,46285400
6/28/21,153.919998,154.050003,151.509995,152.360001,149.794998,13133300
6/29/21,153.259995,156.399994,152.910004,155.949997,153.324539,10279900
6/30/21,154.789993,155.339996,153.520004,154.490005,151.88913,10281800
7/1/21,154.070007,158.210007,153.889999,158,155.340027,9011500
7/2/21,158.210007,159.970001,157.639999,159.740005,157.050735,6396700
7/6/21,159.919998,160.440002,157.860001,160.110001,157.414505,6671000
7/7/21,160.160004,161.5,158.279999,160.160004,157.463654,5408300
7/8/21,158.169998,160.820007,157.350006,160.630005,157.925751,6081600
7/9/21,161.690002,161.960007,160.509995,161,158.289536,5002300
7/12/21,161.639999,162.429993,160.710007,161.820007,159.095718,4992200
7/13/21,161.350006,162.309998,161.009995,161.589996,158.869583,5747700
7/14/21,161.869995,162.729996,161.339996,161.539993,158.820419,4928000
7/15/21,160.860001,162.199997,160.389999,161.690002,158.967911,6432500
7/16/21,161.619995,161.699997,159.639999,159.850006,157.158905,6603700
7/19/21,158.149994,158.820007,156.600006,157.869995,155.212204,7377100
7/20/21,157.259995,160.429993,156.580002,159.740005,157.050735,4629200
7/21/21,160.5,161.429993,160.009995,161.080002,158.368179,5393100
7/22/21,161.110001,163.75,160.929993,163.679993,160.924408,4851500
7/23/21,164.350006,166.449997,163.729996,166.360001,163.55928,4217700
7/26/21,165.710007,166.529999,163.820007,165.089996,162.310669,3858800
7/27/21,164.820007,165.610001,162.580002,164.570007,161.799423,4359000
7/28/21,164.490005,165.899994,164.080002,165.460007,162.674454,4093600
7/29/21,165.899994,167.029999,165.389999,166.990005,164.17868,3605600
7/30/21,166.589996,167.869995,166.350006,167.509995,164.689911,5364400
8/2/21,169.059998,169.979996,168.029999,168.75,165.909058,5532500
8/3/21,169.220001,171.5,168.490005,171.229996,168.347275,5718100
8/4/21,171.360001,172.339996,170.960007,171.910004,169.015839,4646200
8/5/21,171.410004,174,171.179993,173.850006,170.923203,3824000
8/6/21,174.360001,174.380005,172.699997,172.800003,169.890854,4088700
8/9/21,172.5,173.059998,171.619995,171.770004,168.878204,3612800
8/10/21,171.559998,173.960007,171.429993,172.270004,169.369781,3747100
8/11/21,172,173.220001,170.940002,171.270004,168.386642,4078300
8/12/21,170.889999,171.320007,169.479996,170.639999,167.767212,3997100
8/13/21,170.449997,171.720001,168.779999,171.690002,168.799561,2966200
8/16/21,170.699997,172.399994,169.660004,172.360001,169.458282,3530200
8/17/21,171.539993,171.699997,169.380005,170.660004,167.78688,3602900
8/18/21,169.75,171.800003,168.660004,168.809998,165.968048,5487400
8/19/21,166.960007,167.539993,164.369995,165.589996,162.802246,7336300
8/20/21,166.270004,168.009995,165.419998,167.789993,164.96521,4039100
8/23/21,169.449997,170.899994,169.179993,169.720001,166.862717,3796500
8/24/21,169.600006,170.869995,168.889999,169.979996,167.118332,3133100
8/25/21,170,170.690002,169.529999,169.839996,166.980682,3003800
8/26/21,169.380005,169.520004,166.270004,166.919998,164.109863,4069600
8/27/21,167.270004,168.070007,166.279999,167.580002,165.030624,3012400
8/30/21,167.889999,168.410004,166.570007,168.029999,165.473785,3537100
8/31/21,167.550003,167.679993,164.199997,164.740005,162.233856,7545600
9/1/21,164.919998,166.619995,164.080002,164.559998,162.05658,4706500
9/2/21,165.240005,165.429993,162.789993,163.669998,161.18013,4632100
9/3/21,163.199997,164.169998,162.220001,163.289993,160.805878,4254500
9/7/21,163.699997,163.860001,161.910004,162.639999,160.165787,5648800
9/8/21,162,162.089996,159.75,160.710007,158.265167,6591700
9/9/21,165.259995,166.149994,163.199997,163.339996,160.855133,8414800
9/10/21,164.25,165.660004,163.440002,163.589996,161.101334,4252100
9/13/21,161.559998,162.919998,158.330002,159.520004,157.093246,8814500
9/14/21,159.169998,159.389999,157.070007,158.759995,156.344788,5323900
9/15/21,157.5,158.320007,155.669998,157.910004,155.507751,6827100
9/16/21,157.589996,159.009995,157.199997,157.600006,155.202469,5085900
9/17/21,157.960007,161,156.070007,156.419998,154.040405,7944800
9/20/21,153.729996,155.270004,152.320007,154.25,151.903427,7041200
9/21/21,155.089996,156.130005,153.580002,155.020004,152.661697,5857900
9/22/21,156.789993,158,155.600006,157.440002,155.044891,6844800
9/23/21,158.710007,160.289993,158.270004,159.580002,157.152328,11981500
9/24/21,151.039993,151.850006,148,149.589996,147.314285,26913300
9/27/21,149.509995,149.910004,147.289993,148.039993,145.787888,11479300
9/28/21,147.339996,147.529999,145,145.300003,143.089584,10692300
9/29/21,145.710007,147.940002,145.690002,146.020004,143.79863,7794900
9/30/21,145.880005,147.479996,144.419998,145.229996,143.02066,10133600
10/1/21,145.220001,148,144.369995,147.059998,144.822784,8112300
10/4/21,147.059998,147.619995,145.759995,147.139999,144.901581,7951000
10/5/21,148,151,147.820007,149.460007,147.186295,10881900
10/6/21,148,149.460007,147.509995,148.800003,146.536346,7610700
10/7/21,150.300003,153.660004,150.259995,151.850006,149.539932,7958000
10/8/21,152.220001,152.869995,150.669998,152.479996,150.160355,6333700
10/11/21,151.990005,153.589996,150.059998,150.279999,147.99382,5551200
10/12/21,152.419998,153.600006,151.300003,153.350006,151.017136,7408600
10/13/21,154.320007,156.669998,153.160004,156.300003,153.922256,8456300
10/14/21,158.179993,158.460007,156.25,157.139999,154.749451,6024500
10/15/21,157.800003,158.330002,156.559998,158.009995,155.606216,5532100
10/18/21,157.309998,159.470001,155.949997,159.429993,157.004608,5765300
10/19/21,159.679993,159.929993,156.800003,157.820007,155.419098,6198200
10/20/21,158.5,158.800003,157.320007,158.449997,156.039505,4487000
10/21/21,158.449997,162.339996,158.279999,162.179993,159.712769,6121700
10/22/21,162.279999,164.619995,162.279999,163.479996,160.992996,5323000
10/25/21,163.229996,164.729996,162.660004,164.220001,161.721741,3878200
10/26/21,164.820007,165.449997,163.119995,163.789993,161.298294,4711200
10/27/21,163.649994,164.059998,161.660004,162.350006,159.880203,4163900
10/28/21,163.009995,164.600006,162.809998,164.460007,161.958099,3762000
10/29/21,163.059998,167.630005,163,167.289993,164.745041,6740600
11/1/21,167.800003,168.800003,165.889999,166.330002,163.799652,3610800
11/2/21,166.759995,168.160004,166.110001,167.830002,165.276825,5038000
11/3/21,169,172.869995,168.649994,172.5,169.875778,7176700
11/4/21,172.210007,175.630005,172,175.440002,172.771057,5460100
11/5/21,175.729996,179.100006,175.5,177.509995,174.809555,5892200
11/8/21,176.350006,176.539993,170.360001,171.850006,169.235672,8301100
11/9/21,171.25,173.929993,170.949997,173.820007,171.175705,4343000
11/10/21,171.229996,172.169998,167.550003,168.259995,165.700272,8185200
11/11/21,169.600006,169.600006,166.630005,166.970001,164.429901,4994900
11/12/21,167.5,169.679993,167.399994,169.089996,166.517654,5126300
11/15/21,169.699997,170.360001,168.520004,168.850006,166.281326,3856700
11/16/21,169.25,174,169.25,171.830002,169.215988,4401000
11/17/21,171.600006,172.740005,170.25,171.740005,169.127365,3940200
11/18/21,172.330002,173.460007,170.360001,171.350006,168.743271,4044200
11/19/21,172.149994,177.199997,170.529999,174.880005,172.219559,6145600
11/22/21,174.979996,177.75,174.229996,174.240005,171.589325,5906400
11/23/21,173.050003,173.429993,170.410004,172.149994,169.531097,5302100
11/24/21,168.490005,172.429993,167.669998,172.029999,169.412918,4637600
11/26/21,168.059998,169.679993,167.539993,168.020004,165.463943,4751100
11/29/21,169.830002,171.149994,169.229996,169.869995,167.285797,5448700
11/30/21,168.789993,171.550003,167.529999,169.240005,166.66539,11033700
12/1/21,170.889999,173.369995,166.679993,166.699997,164.164001,6618200
12/2/21,167.279999,170.550003,167,170,167.413803,4398900
12/3/21,170.619995,172.070007,166.759995,170.240005,167.951477,4878500
12/6/21,170.830002,171.210007,168.059998,168.910004,166.639374,5636900
12/7/21,171.110001,173.350006,170.399994,171.289993,168.987366,5898700
